name,birthDate,type
Jerrilyn,2018/07/03,snake
Denis,2020/02/20,lizard
Vilma,2019/09/10,lizard
Romy,2019/07/22,bird
Freddi,2019/12/17,hamster
Iggy,2019/09/17,hamster
Fransisco,2019/01/18,cat
Bridie,2020/01/12,cat
Sissie,2019/10/23,hamster
Devina,2019/04/27,bird
Sanderson,2018/05/14,cat
Toby,2019/08/20,hamster
Nora,2018/04/19,hamster
Bunnie,2018/12/08,lizard
Ainsley,2018/11/30,snake
Antoine,2019/10/01,dog
Mallissa,2019/12/05,dog
Lynnea,2019/01/20,dog
Shel,2019/02/14,hamster
Cindra,2018/10/30,dog
Ninnetta,2020/02/14,hamster
Lanette,2019/07/19,hamster
Joseph,2019/12/30,bird
Margareta,2018/05/07,cat
Kiel,2018/06/27,cat
Fin,2019/05/06,bird
Desdemona,2020/03/07,hamster
Bunny,2018/10/14,dog
Sybyl,2018/10/06,lizard
Odelinda,2018/08/31,dog
Haskell,2018/09/02,hamster
Patsy,2019/01/20,cat
Aleen,2020/01/12,cat
Silvano,2019/07/19,bird
Allina,2019/01/24,snake
Sashenka,2018/07/10,bird
Jo-ann,2019/01/05,dog
Sandor,2020/03/29,lizard
Tobey,2018/08/15,dog
Andre,2020/02/27,bird
Rudie,2020/02/01,bird
Jarvis,2018/09/14,snake
Idelle,2018/12/03,bird
Martainn,2019/10/12,dog
Ludovika,2019/05/18,dog
Ber,2019/03/20,hamster
Bald,2018/06/25,snake
Marlie,2020/01/20,lizard
Ellwood,2020/02/10,dog
Byran,2020/01/04,hamster
Tyler,2019/02/23,bird
Evan,2019/07/05,cat
Winnie,2019/02/19,bird
Alphonso,2018/12/09,cat
Maddie,2019/01/18,bird
Melodee,2019/10/23,dog
Daffy,2019/12/08,hamster
Kendell,2018/04/30,dog
Olympe,2019/08/30,lizard
Rennie,2019/05/16,lizard
Cary,2020/01/05,lizard
Lauree,2018/07/29,hamster
Jaquelin,2019/03/07,dog
Corie,2018/05/12,bird
