name,maker,expirationDate,type
Pregabalin,Lake Erie Medical DBA Quality Care Products LLC,2018/08/02,bird
verapamil hydrochloride,Lake Erie Medical DBA Quality Care Products LLC,2020/04/25,dog
mitomycin,Mobius Therapeutics LLC,2020/01/02,dog
Tolnaftate,"Novartis Consumer Health, Inc.",2017/03/31,snake
Chlorpheniramine maleate,Contract Pharmacy Services-PA,2019/01/25,lizard
naproxen sodium,"Victory Pharma, Inc.",2018/03/13,lizard
"ACTIVATED CHARCOAL, LYCOPODIUM CLAVATUM SPORE, NUTMEG, DAIKON",Laboratoires Boiron,2018/02/20,cat
Lorazepam,REMEDYREPACK INC.,2017/07/29,lizard
Triclosan,Kimberly-Clark Corporation,2018/12/18,cat
Metronidazole,Carilion Materials Management,2017/10/07,cat
mesalamine,"Warner Chilcott (US), LLC",2020/02/25,dog
Oxygen,"Linde Gas Puerto Rico, Inc",2017/07/02,hamster
Urea,Eduard Gerlach GmbH,2020/03/10,snake
dimethicone,"Merz Pharmaceuticals, LLC",2018/03/31,hamster
Mirtazapine,Aurolife Pharma LLC,2018/05/12,cat
ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY,Procter & Gamble Manufacturing Company,2016/12/28,dog
Bisacodyl,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",2019/05/05,snake
red bell pepper,"Allergy Laboratories, Inc.",2018/02/16,bird
Allergenic Extracts Alum Precipitated,"ALK-Abello, Inc.",2019/04/08,bird
Zinc Gluconate,"ProPhase Labs, Inc.",2020/05/16,cat
"Viscum Album, Cobaltum Gluconicum, Cuprum Sulphuricum, Ferrum Fumaricum, Kali Asparaginicum, Magnesia Asparaginicum","Deseret Biologicals, Inc.",2019/02/10,hamster
Metoclopramide,"Physicians Total Care, Inc.",2018/12/20,lizard
ibuprofen,"Dolgencorp, LLC",2017/10/12,cat
alprazolam,Qualitest Pharmaceuticals,2017/06/23,hamster
Hydralazine,Cardinal Health,2019/08/08,bird
Glimepiride,American Health Packaging,2020/01/23,lizard
Diphenhydramine HCl,Cardinal Health,2017/10/22,cat
"Acetaminophen, Dextromethorphan HBr",Meijer Distribution Inc,2019/10/14,dog
morphine sulfate,"Physicians Total Care, Inc.",2019/07/23,cat
Clotrimazole and Betamethasone dipropionate,Merck Sharp & Dohme Corp.,2020/02/09,snake
Triclosan,"Deb USA, Inc.",2020/04/07,snake
"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",HyVee Inc,2017/10/10,lizard
"acetaminophen, dextromethorphan hbr, guaifenesin, phenylephrine hcl",Amerisource Bergen,2017/02/19,bird
clindamycin hydrochloride,Mylan Pharmaceuticals Inc.,2017/04/13,cat
Mountain Cedar,"Antigen Laboratories, Inc.",2018/07/02,snake
Scilla Crataegus,Uriel Pharmacy Inc.,2018/02/14,bird
Carbidopa and levodopa,"Aphena Pharma Solutions - Tennessee, Inc.",2017/11/19,bird
PROPOFOL,"APP Pharmaceuticals, LLC",2018/03/04,hamster
ANTIMONY POTASSIUM TARTRATE,Remedy Makers,2016/12/02,bird
carbamazepine,Novartis Pharmaceuticals Corporation,2016/11/06,snake
ALCOHOL,Genuine First Aid LLC,2019/05/07,lizard
Losartan Potassium,American Health Packaging,2019/02/09,cat
"Echinacea angustifolia, Hydrastis canadensis, Tabebuia impetiginosa, Glandula suprarenalis, Thymus, Thyroidinum, Arsenicum album, Bryonia alba, Cocculus indicus, Colchicum autumnale,",Apotheca Company,2018/04/21,lizard
Lidocaine Hydrochloride,North Safety Products,2019/09/03,bird
zinc oxide and Cocoa Butter,"Camellix, LLC",2019/06/01,hamster
cyclosporine,Cardinal Health,2017/10/14,dog
"american ginseng, arnica montana, turnera diffusa leafy twig, herring sperm DNA, galium aparine, hamamelis virginiana root bark/stem bark, pork liver, cervus elaphus horn oil, ovis aries testicle, phosphoric acid, sus scrofa pituitary gland, thuja occidentalis leafy twig, thyroid, unspecified, tribulus terrestris, ginger","Integra Health International, S.A. de C.V.",2017/03/16,snake
Miconazole,Cherry Hill Sales Co,2018/12/11,snake
Nateglinide,Par Pharmaceutical Inc.,2019/06/16,cat
"buprenorphine hydrochloride, naloxone hydrochloride","PD-Rx Pharmaceuticals, Inc.",2017/03/15,bird
Eucalyptus globulus,"Allermed Laboratories, Inc.",2018/10/15,snake
Midazolam Hydrochloride,BD Rx Inc.,2017/06/13,dog
"Aconitum napellus, Apis mellifica, Arnica montana, Cartilago suis, Hydrastis canadensis, Hypericum perforatum, Rhus toxicodendron, Thuja occidentalis,","Liddell Laboratories, Inc.",2018/06/09,hamster
Mometasone Furoate,Clinical Solutions Wholesale,2017/05/03,snake
Anticoagulant Citrate Phosphate Dextrose (CPD) Solution and ADSOL Preservation Solution,"Fenwal, Inc.",2018/08/09,hamster
caffeinum,Spayable Energy LLC,2016/10/21,snake
desvenlafaxine succinate,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2020/03/02,bird
Diphenhydramine Hydrochloride,H E B,2019/03/28,dog
West Wheat Grass,"Nelco Laboratories, Inc.",2018/11/19,bird
Irbesartan,Carilion Materials Management,2019/09/16,bird
"Acetaminophen, Aspirin, and Caffeine",MOBERG PHARMA NORTH AMERICA LLC,2018/03/01,dog
"Aconitum napellus, Arsenicum album,Baryta carbonica, Bryonia, Calcarea carbonica, Cantharis, Gelsemium sempervirens, Graphites, Hydrastis canadensis, Kali carbonicum, Lachesis mutus, Lycopodium clavatum, Mercurius vivus, Natrum muriaticum, Nux vomica, Phosphorus, Phytolacca decandra, Pulsatilla, Rhus toxicodendron, Sepia, Silicea, Sulphur",New Sun Inc.,2017/03/23,hamster
cefixime,LUPIN PHARMA,2018/03/31,hamster
Dextromethorphan HBr and Guiafenesin,Family Dollar,2018/01/15,dog
TRICLOSAN,New World Imports,2019/02/10,bird
DIPHENHYDRAMINE HYDROCHLORIDE,PURINEPHARMA LLC,2019/10/16,cat
Octinoxate and Oxybenzone,Ventura Corporation LTD.,2019/01/24,dog
Benazepril Hydrochloride,"Physicians Total Care, Inc.",2018/02/27,lizard
Hydralazine hydrochloride and Isosorbide dinitrate,"Arbor Pharmaceuticals, Inc.",2017/12/10,cat
"ATP (Adenosine Triphosphate Disodium), Malic Acid, Natrum Oxalaceticum, Riboflavinum, Apiolum, Cinnamic Acid, DHEA (Dehydroepiandrosterone), Streptococcus viridans","Deseret Biologicals, Inc.",2017/10/01,lizard
"Codeine Phosphate, Guaifenesin","Respa Pharmaceuticals, Inc.",2019/05/12,cat
PROTAMINE SULFATE,"Fresenius Kabi USA, LLC",2017/08/05,bird
Cyclobenzaprine Hydrochloride,"Preferred Pharmaceuticals, Inc.",2017/06/07,bird
NATRUM MURIATICUM,HOMEOLAB USA INC,2018/01/03,dog
"Adenosinum cyclophosphoricum, Adrenalinum, Adrenocorticotrophin, Agrimonia eupatoria, Agrostemma githago, Ailanthus glandulosus, Allium cepa, Cortisone aceticum, Cynodon dactylon, Equisetum hyemale, Euphrasia officinalis, Galphimia glauca, Histaminum hydrochloricum, Kali muriaticum, Mucosa nasalis suis, Natrum muriaticum, Platanus, Populus candicans, RNA, Sabadilla, Solidago virgaurea",King Bio Inc.,2017/06/15,cat
Repaglinide,Sandoz Inc,2019/08/02,bird
zinc oxide,"thinkOperations,LLC",2019/06/26,cat
Simvastatin,Legacy Pharmaceutical Packaging,2018/12/27,hamster
Triamterene and Hydrochlorothiazide,REMEDYREPACK INC.,2018/07/24,cat
"OCTINOXATE, OXYBENZONE, ZINC OXIDE, TITANIUM DIOXIDE","MallyGirl, LLC",2020/03/15,hamster
paroxetine hydrochloride,REMEDYREPACK INC.,2016/12/19,bird
ZINC OXIDE,"TAI GUK PHARM. CO., LTD.",2019/02/17,snake
Felodipine,Bryant Ranch Prepack,2018/09/25,lizard
Atomoxetine hydrochloride,Eli Lilly and Company,2020/04/09,dog
Weed mix 2630,Jubilant HollisterStier LLC,2016/10/09,snake
zolpidem tartrate,"Aphena Pharma Solutions - Tennessee, LLC",2019/04/29,cat
"Dextromethorphan HBr, Phenylephrine HCl","Novartis Consumer Health, Inc.",2017/12/26,bird
Chlorpheniramine Maleate,Kroger Company,2019/11/28,snake
fenofibrate,"Santarus, Inc.",2018/07/21,bird
Oxygen,"Oxygen One, Inc.",2020/04/29,cat
Ritonavir,AbbVie Inc.,2019/09/05,lizard
metoprolol tartrate,REMEDYREPACK INC.,2019/11/05,dog
Albumin (Human),"KEDRION BIOPHARMA, INC",2019/11/10,snake
Black Locust,"ALK-Abello, Inc.",2018/06/26,lizard
temazepam,"H.J. Harkins Company, Inc.",2018/02/19,cat
OXYCODONE HYDROCHLORIDE,"KVK-TECH,INC",2019/10/06,lizard
sulfamethoxazole and trimethoprim,"Teva Parenteral Medicines, Inc.",2019/09/04,bird
Paprika,"Nelco Laboratories, Inc.",2017/09/25,cat
Pravastatin Sodium,State of Florida DOH Central Pharmacy,2019/01/04,dog
"Folliculinum, Oophorinum,",Apotheca Company,2018/12/04,cat
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE",DeMoulas Market Basket,2018/09/16,dog
Bryophyllum e fol. 10,Uriel Pharmacy Inc.,2019/01/02,snake
"Potassium Gluconate, Glandula Suprarenalis Bovine, Hepar Bovine, Arsenicum Album, Lycopodium Clavatum, Nux Vomica, Phosphorus",BioActive Nutritional,2018/10/10,dog
Escitalopram Oxalate,Lake Erie Medical DBA Quality Care Products LLC,2017/12/04,bird
Salicylic Acid,Alberto-Culver USA Inc.,2019/06/06,bird
PANTOPRAZOLE SODIUM,WOCKHARDT LIMITED,2019/01/27,dog
clarithromycin,Bryant Ranch Prepack,2019/09/26,dog
Fentanyl,STAT Rx USA LLC,2017/08/28,lizard
CLAVICEPS PURPUREA SCLEROTIUM,Natural Health Supply,2018/05/04,snake
"Actaea Spicata Root, Horse Chestnut, ALTHAEA OFFICINALIS ROOT, ARNICA MONTANA, ATROPA BELLADONNA ROOT, BELLIS PERENNIS, BRYONIA ALBA ROOT, CALENDULA OFFICINALIS FLOWERING TOP, CAULOPHYLLUM THALICTROIDES ROOT, CAUSTICUM, BLACK COHOSH, GUAIACUM OFFICINALE RESIN, HYPERICUM PERFORATUM, POTASSIUM CARBONATE, LEDUM PALUSTRE TWIG, LITHIUM CARBONATE, FRANGULA CALIFORNICA BARK, RHODODENDRON AUREUM LEAF, TOXICODENDRON PUBESCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP, SALICYLIC ACID, and STELLARIA MEDIA","Biolyte Laboratories, LLC",2018/01/13,snake
Cetirizine Hydrochloride,Corporacion Infarmasa,2017/10/07,lizard
"Dibasic Sodium Phosphate, Monobasic Potassium Phosphate and Monobasic Sodium Phosphate",KAISER FOUNDATION HOSPITALS,2020/04/05,bird
Berberis Populus,Uriel Pharmacy Inc.,2018/08/26,snake
potassium citrate,"Biocomp Pharma, Inc.",2017/05/02,hamster
"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",Publix Super Markets Inc,2018/06/08,bird
Insulin human,Eli Lilly and Company,2017/11/07,lizard
Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,2017/12/24,hamster
Pecan Pollen,"ALK-Abello, Inc.",2017/06/26,hamster
Naproxen,Unit Dose Services,2019/08/30,dog
Dextromethorphan Hydrobromide / Guaifenesin,Reese Pharmaceutical Co,2017/05/07,lizard
ALOE FEROX LEAF,GEMPARK CO LTD,2019/09/29,lizard
Triamterene and Hydrochlorothiazide,"AvKARE, Inc.",2019/05/05,cat
Red Cedar,"Nelco Laboratories, Inc.",2016/12/18,hamster
losartan potassium and hydrochlorothiazide,Merck Sharp & Dohme Corp.,2018/07/20,hamster
Aspirin,Medtech Products Inc.,2020/03/08,dog
paroxetine hydrochloride,"Physicians Total Care, Inc.",2018/03/29,bird
Paroxetine hydrochloride,Contract Pharmacy Services-PA,2016/10/02,lizard
"OCTINOXATE, TITANIUM DIOXIDE",Guerlain S.A,2017/12/04,hamster
AIR,"PURITY CYLINDER GASES, INC.",2020/01/14,hamster
Triclosan,"SJ Creations, Inc.",2019/03/15,lizard
Albuterol Sulfate,Teva Pharmaceuticals USA Inc,2017/08/16,lizard
"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE",AMOREPACIFIC,2017/01/13,cat
BENZALKONIUM CHLORIDE,CVS PHARMACY,2020/05/05,lizard
"Carbidopa, levodopa and entacapone",Sun Pharma Global FZE,2018/02/19,dog
Quinine Sulfate,"Mutual Pharmaceutical Company, Inc.",2019/06/17,cat
"Sorrel, Sheep Rumex acetosella",Jubilant HollisterStier LLC,2017/08/30,lizard
trifluridine,"Falcon Pharmaceuticals, Ltd.",2019/10/30,snake
metoprolol succinate,Mylan Pharmaceuticals Inc.,2020/04/20,snake
HOMOSALATE OCTINOXATE OCTISALATE OXYBENZONE TITANIUM DIOXIDE OCTOCRYLENE,JAFRA COSMETICS INTERNATIONAL,2017/03/30,snake
Vinorelbine tartrate,Sandoz Inc.,2017/03/02,lizard
Trazodone Hydrochloride,STAT RX LLC USA,2019/04/14,dog
estradiol,Novartis Pharmaceuticals Corporation,2019/01/08,snake
Naproxen Sodium,"New World Imports, Inc.",2020/04/14,snake
oxybutynin chloride,Mylan Pharmaceuticals Inc.,2018/04/09,snake
Octinoxate and Titanium Dioxide,"Bare Escentuals Beauty, Inc.",2019/07/11,cat
Zinc Oxide,"CoValence, Inc.",2017/04/02,hamster
"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",Cardinal Health,2020/05/03,dog
Ropinirole Hydrochloride,Major Pharmaceuticals,2017/04/14,hamster
ETHYL ALCOHOL,TOPCO ASSOCIATES LLC,2018/01/13,snake
Lisinopril,Cardinal Health,2019/07/12,lizard
lisdexamfetamine dimesylate,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2017/05/31,cat
Pantoprazole Sodium,Legacy Pharmaceutical Packaging,2020/02/27,snake
Venlafaxine hydrochloride,"PD-Rx Pharmaceuticals, Inc.",2019/07/24,bird
Alendronate Sodium,Virtus Pharmaceuticals,2017/02/14,hamster
MAGNESIUM SULFATE,Cardinal Health,2020/04/18,lizard
Oak White,"ALK-Abello, Inc.",2017/08/23,snake
Amoxicillin,Teva Pharmaceuticals USA Inc,2017/10/03,cat
Kochia Firebush,"ALK-Abello, Inc.",2017/05/03,lizard
OCTINOXATE,Boots Retail USA Inc,2016/12/20,lizard
lacosamide,Kremers Urban Pharmaceuticals Inc,2019/09/15,snake
"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",Neutrogena Corporation,2017/05/16,cat
QUETIAPINE FUMARATE,Lake Erie Medical DBA Quality Care Products LLC,2017/05/03,snake
Lamotrigine,Hikma Pharmaceutical,2016/12/19,bird
Antihemophilic Factor (Recombinant),Bayer HealthCare LLC,2020/03/04,hamster
Oxcarbazepine,American Health Packaging,2019/07/09,cat
Guaifenesin and DEXTROMETHORPHAN HYDROBROMIDE,Rugby Laboratories Inc.,2018/11/07,bird
"Arsenicum iodatum, Bryonia, Cistus canadensis, Hepar sulph. calc., Histaminum hydrochloricum, Hydrastis, Iodium, Kali bic., Kali iod., Merc. iod. rub., Merc. viv., Nux vom., Phosphorus, Pulsatilla, Sabadilla, Sticta, Verbascum, Echinacea","Newton Laboratories, Inc.",2019/01/23,cat
Berberis Viscum,Uriel Pharmacy Inc.,2019/07/30,cat
furosemide,Cardinal Health,2019/03/21,bird
Labetalol HCl,"Eon Labs, Inc.",2019/09/04,snake
"Avobenzone , Octinoxate and Octisalate",BCM Ltd,2018/02/14,lizard
Loxapine,"Lannett Company, Inc.",2019/11/28,dog
ziprasidone hydrochloride,REMEDYREPACK INC.,2018/04/24,bird
Topiramate,"Upsher-Smith Laboratories, Inc.",2017/11/04,snake
ropivacaine hydrochloride,Sagent Pharmaceuticals,2020/04/25,hamster
TRICLOSAN,RITE AID CORPORATION,2020/01/21,bird
ASPERGILLUS FUMIGATUS,"ALK-Abello, Inc.",2019/01/29,lizard
Helleborus e pl. tota 3 Special Order,Uriel Pharmacy Inc.,2017/07/09,hamster
Simvastatin,Aurobindo Pharma Limited,2018/11/17,bird
"acetaminophen, dextromethorphan hbr, guaifenesin, phenylephrine hcl",Meijer Distribution Inc,2018/04/16,lizard
"Apis mel., Arnica, Bellis, Bryonia, Calendula, Chamomilla, Cinchona, Gelsemium, Hamamelis, Hypericum, Lacticum acidum, Ledum, Phosphorus, Rhus toxicodendron, Ruta, Sarcolacticum ac., Staphysag., Symphytum, Echinacea, Hydrastis","Newton Laboratories, Inc.",2018/01/01,lizard
levofloxacin,Zydus Pharmaceuticals (USA) Inc.,2018/11/24,snake
sodium fluoride,GlaxoSmithKline Consumer Healthcare LP,2019/09/04,lizard
Lorazepam,"PD-Rx Pharmaceuticals, Inc.",2019/11/20,dog
"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",HyVee Inc,2017/03/26,snake
amlodipine besylate and benazepril hydrochloride,Carilion Materials Management,2019/07/16,lizard
Clonidine Hydrochloride,American Health Packaging,2019/07/20,hamster
Escitalopram,Lake Erie Medical DBA Quality Care Products LLC,2018/09/11,bird
Triclosan,The Dial Corporation,2017/11/27,cat
"Loratadine, Pseudoephedrine Sulfate",Perrigo New York Inc,2019/01/30,dog
Treatment Set TS331413,"Antigen Laboratories, Inc.",2019/04/12,lizard
Metformin hydrochloride,Inventia Healthcare Private Limited,2020/02/08,snake
Flumazenil,"General Injectables and Vaccines, Inc",2019/02/07,hamster
Treatment Set TS333635,"Antigen Laboratories, Inc.",2020/05/18,lizard
hydrocortisone and acetic acid,Qualitest Pharmaceuticals,2017/05/27,bird
Cinnamon,"Nelco Laboratories, Inc.",2017/07/11,snake
Losartan Potassium,ReadyMeds,2017/03/19,dog
alcohol,Sion Biotext Medical Ltd,2019/04/30,bird
Primidone,Cardinal Health,2018/06/03,snake
Carbamazepine,American Health Packaging,2018/07/14,dog
Pramipexole Dihydrochloride,Sandoz Inc,2019/12/11,lizard
Oxygen,"- INDUSTRIAL WELDING SUPPLY CO. OF HARVEY, INC.",2018/12/21,snake
lisinopril,Mylan Pharmaceuticals Inc.,2016/11/07,snake
"ACETAMINOPHEN, PHENYLEPHRINE HYDROCHLORIDE",Unifirst First Aid Corporation,2017/07/18,hamster
sodium fluoride,"e-soup Co., Ltd.",2019/02/13,snake
adenosine,IASO Inc,2017/03/24,bird
ANTIHEMOPHILIC FACTOR HUMAN,CSL Behring LLC,2018/05/24,cat
Bupropion Hydrochloride,"Aphena Pharma Solutions - Tennessee, Inc.",2018/05/10,hamster
Perindopril Erbumine,"Abbott Products, Inc.",2019/09/24,dog
"AVOBENZONE, OCTINOXATE, OCTOCRYLENE, and OXYBENZONE",SHISEIDO AMERICAS CORPORATION,2019/03/03,cat
ALUMINUM CHLOROHYDRATE,"New World Imports, Inc.",2017/02/26,lizard
Titanium Dioxide and Zinc Oxide,"NSE Products, Inc.",2017/09/15,bird
"Anacardium orientale, Argentum nitricum, Arsenicum album, Bismuthum metallicum, Condurango, Geranium maculatum, Nux vomica, Pyrogenium, Robinia pseudoacacia, Sulphuricum acidum,","Liddell Laboratories, Inc.",2018/12/02,bird
OATMEAL,AN Co Ltd.,2019/11/20,hamster
haloperidol,Mylan Institutional Inc.,2017/05/17,dog
MENTHOL AND ZINC OXIDE,"TAI GUK PHARM. CO., LTD.",2018/03/11,snake
midodrine hydrochloride,"Physicians Total Care, Inc.",2019/06/18,cat
Cetylpyridinium Chloride,Triumph Pharmaceuticals Inc.,2019/12/25,cat
"Mineral oil, petrolatum, phenylephrine hcl",Meijer Distribution Inc,2019/03/22,hamster
Pussy Willow,"Antigen Laboratories, Inc.",2017/02/25,lizard
diphenhydramine hydrochloride,Rebel Distributors Corp,2019/05/28,hamster
"Acetaminophen, Chlorpheniramine maleate, Phenylephrine HCl",Wakefern Food Corporation,2020/02/05,hamster
MOMETASONE FUROATE,Merck Sharp & Dohme Corp.,2018/02/09,bird
valacyclovir hydrochloride,Mylan Pharmaceuticals Inc.,2017/07/05,lizard
Citalopram Hydrobromide,Rebel Distributors Corp,2019/04/08,dog
Alfuzosin hydrochloride,Exelan Pharmaceuticals Inc.,2018/08/23,hamster
Methylphenidate Hydrochloride,"AvKARE, Inc.",2017/10/17,cat
Valacyclovir Hydrochloride,Dr. Reddys Laboratories Limited,2020/03/24,lizard
TRICLOSAN,Harris Teeter,2017/08/09,hamster
Labetalol Hydrochloride,"Par Pharmaceutical Companies, Inc.",2020/04/17,lizard
Apis Belladonna Special Order,Uriel Pharmacy Inc.,2020/03/03,hamster
Mugwort,"Nelco Laboratories, Inc.",2018/12/24,lizard
Acetaminophen and Phenylephrine HCl,ARMY AND AIR FORCE EXCHANGE SERVICE,2018/06/30,snake
POTASSIUM DICHROMATE,Remedy Makers,2018/01/02,lizard
Curly Dock,"Nelco Laboratories, Inc.",2019/08/19,hamster
"Belladonna, Cantharis, Causticum, Cina, Equisetum hyemale, Ignatia amara, Physalis alkekengi, Sepia, Uranium nitricum, Verbascum thapsus,","Liddell Laboratories, Inc.",2018/01/27,snake
Azithromycin,Teva Pharmaceuticals USA Inc,2017/08/12,cat
Digoxin,Unit Dose Services,2017/02/08,lizard
Ondansetron Hydrochloride,Precision Dose Inc.,2019/01/10,cat
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE",Energizer Personal Care LLC,2019/02/14,cat
sodium fluoride,GlaxoSmithKline Consumer Healthcare LP,2020/03/04,dog
Captopril,"Preferred Pharmaceuticals, Inc.",2019/08/23,dog
fexofenadine hydrochloride,Perrigo New York Inc,2018/04/25,hamster
Titanium Dioxide and Zinc Oxide,"Tarte, Inc",2017/11/10,lizard
"ZINC OXIDE, TITANIUM DIOXIDE","TONYMOLY CO., LTD.",2018/12/11,snake
levothyroxine sodium,"PD-Rx Pharmaceuticals, Inc.",2017/07/01,lizard
"Apis Mellifera 30C, Silver Nitrate 30C, Barium Carbonate 30C, Atropa Belladonna 30C, Causticum 30C, Equisetum Hyemale 30C, Iodine 30C, Wood Creosote 30C, Sodium Chloride 30C, Nitric Acid 30C, Phosphorus 30C, Pulsatilla Vulgaris 30C, Thuja Occidentalis Leafy Twig 30C","Natural Creations, Inc.",2020/04/22,snake
"Acetaminophen, Aspirin and caffeine",Cardinal Health,2019/06/08,hamster
Oxygen,Legacy Durable Medical Equipment Inc,2019/02/05,snake
"Octinoxate, Oxybenzone, and Titanium Dioxide",Ventura Corporation LTD,2018/03/30,snake
etodolac,RedPharm Drug Inc.,2019/05/02,bird
RISPERIDONE,WOCKHARDT USA LLC,2016/10/19,lizard
Naproxen,Unit Dose Services,2018/01/28,lizard
Octinoxate and Titanium Dioxide,"Bare Escentuals Beauty, Inc.",2018/05/25,snake
stannous fluoride,3M ESPE Dental Products,2017/06/11,hamster
RIBAVIRIN,State of Florida DOH Central Pharmacy,2018/03/29,snake
Benzalkonium Chloride,"Townley, Inc.",2017/03/04,hamster
cetylpyridinium chloride,"Publix Super Markets, Inc",2019/03/26,hamster
Famotidine,"IVAX Pharmaceuticals, Inc.",2016/12/23,hamster
Fluoride,Lornamead,2019/08/07,lizard
Mineral Oil,AMERISOURCEBERGEN DRUG CORPORATION,2017/03/20,bird
Atenolol,McKesson Contract Packaging,2018/09/12,bird
Oak Mix,Jubilant HollisterStier LLC,2019/07/28,dog
Escitalopram,Northwind Pharmaceuticals,2018/12/04,dog
PYRITHIONE ZINC,"Avon Products, Inc.",2018/06/27,snake
"OCTINOXATE, TITANIUM DIOXIDE",Guerlain S.A.,2018/09/03,snake
fenofibrate,Shionogi Inc.,2018/12/15,bird
"Avobenzone, Homosalate, Octisalate and Octocrylene",Johnson & Johnson Consumer Sante Beaute France,2020/02/20,hamster
PREGABALIN,Rebel Distributors Corp,2019/08/17,snake
Menthol,Wal-Mart Stores Inc,2019/07/27,lizard
Pecan Pollen,"ALK-Abello, Inc.",2017/08/29,hamster
Phenazopyridine HCl,"Boca Pharmacal, Inc",2018/01/11,snake
imipramine pamoate,"Mallinckrodt, Inc.",2018/03/04,hamster
Sulfur,"Dermalogica, Inc.",2017/10/21,snake
Polysorbate 80,"Dakota Laboratories, LLC",2017/12/02,cat
"Avobenzone, Homosalate, Octinoxate, Octocrylene","Shopko Stores Operating Co., LLC",2019/07/17,dog
amlodipine besylate and benazepril hydrochloride,"PD-Rx Pharmaceuticals, Inc.",2020/02/26,bird
"Elm, Chinese Ulmus parvifolia",Jubilant HollisterStier LLC,2018/03/01,bird
"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",HyVee Inc,2020/01/22,snake
Diphenhydramine HCl,Kmart Corporation,2018/05/06,snake
Levofloxacin,REMEDYREPACK INC.,2019/01/13,snake
Bismuth subsalicylate,Kroger Company,2017/03/20,dog
"Octinoxate, Octisalate, Oxybenzone",Jafra Cosmetics International Inc,2019/09/03,lizard
"OCTINOXATE, OCTISALATE, ZINC OXIDE, TITANIUM DIOXIDE","NATURE REPUBLIC CO., LTD.",2017/05/18,cat
Magnesium hydroxide,American Sales Company,2019/04/21,dog
